time,time_step,population,births,deaths,birth_rate,death_rate,msd,speed_var,food_var,pheromone_var,speed_variance,food_sense_variance,pheromone_sense_variance,reproduction_energy_variance,max_cluster,max_cluster_size,num_clusters,avg_energy,avg_generation,lineage_count
0,0,20,0,0,0.0,0.0,0.0,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.995462,0.0,20
1,1,20,0,0,0.0,0.0,1.6e-05,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.991501,0.0,20
2,2,20,0,0,0.0,0.0,9.2e-05,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.986733,0.0,20
3,3,20,0,0,0.0,0.0,0.000235,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.98252,0.0,20
4,4,20,0,0,0.0,0.0,0.000492,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.97753,0.0,20
5,5,20,0,0,0.0,0.0,0.00083,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.973214,0.0,20
6,6,20,0,0,0.0,0.0,0.001323,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.968039,0.0,20
7,7,20,0,0,0.0,0.0,0.001875,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.963634,0.0,20
8,8,20,0,0,0.0,0.0,0.002602,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.958252,0.0,20
9,9,20,0,0,0.0,0.0,0.003381,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.953748,0.0,20
10,10,20,0,0,0.0,0.0,0.004375,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.948131,0.0,20
11,11,20,0,0,0.0,0.0,0.005388,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.943518,0.0,20
12,12,20,0,0,0.0,0.0,0.006648,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.937646,0.0,20
13,13,20,0,0,0.0,0.0,0.007922,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.93293,0.0,20
14,14,20,0,0,0.0,0.0,0.009518,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.926791,0.0,20
15,15,20,0,0,0.0,0.0,0.011112,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.921981,0.0,20
16,16,20,0,0,0.0,0.0,0.013102,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.915614,0.0,20
17,17,20,0,0,0.0,0.0,0.015025,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.910721,0.0,20
18,18,20,0,0,0.0,0.0,0.017404,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.904134,0.0,20
19,19,20,0,0,0.0,0.0,0.0196,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.899168,0.0,20
20,20,20,0,0,0.0,0.0,0.022151,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.892451,0.0,20
21,21,20,0,0,0.0,0.0,0.024387,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.887458,0.0,20
22,22,20,0,0,0.0,0.0,0.026864,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.880685,0.0,20
23,23,20,0,0,0.0,0.0,0.029101,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.875668,0.0,20
24,24,20,0,0,0.0,0.0,0.031579,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.868848,0.0,20
25,25,20,0,0,0.0,0.0,0.033711,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.86381,0.0,20
26,26,20,0,0,0.0,0.0,0.035791,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.856942,0.0,20
27,27,20,0,0,0.0,0.0,0.037752,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.851887,0.0,20
28,28,20,0,0,0.0,0.0,0.039908,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.84497,0.0,20
